time_s,x_mm,y_mm,z_mm,odor_conc
2.56,10.0,10.0,5.0,1.1253517471925912e-07
2.57,10.0,10.0,5.0,1.1253517471925912e-07
2.58,10.0,10.0,5.0,1.1253517471925912e-07
2.59,10.0,10.0,5.0,1.1253517471925912e-07
2.6,10.0,10.0,5.0,1.1253517471925912e-07
2.61,10.0,10.0,5.0,1.1253517471925912e-07
2.62,10.0,10.0,5.0,1.1253517471925912e-07
2.63,10.0,10.0,5.0,1.1253517471925912e-07
2.64,10.0,10.0,5.0,1.1253517471925912e-07
2.65,10.0,10.0,5.0,1.1253517471925912e-07
2.66,10.0,10.0,5.0,1.1253517471925912e-07
2.67,10.0,10.0,5.0,1.1253517471925912e-07
2.68,10.0,10.0,5.0,1.1253517471925912e-07
2.69,10.0,10.0,5.0,1.1253517471925912e-07
2.7,10.0,10.0,5.0,1.1253517471925912e-07
2.71,10.0,10.0,5.0,1.1253517471925912e-07
2.72,10.0,10.0,5.0,1.1253517471925912e-07
2.73,10.0,10.0,5.0,1.1253517471925912e-07
2.74,10.0,10.0,5.0,1.1253517471925912e-07
2.75,10.0,10.0,5.0,1.1253517471925912e-07
2.7600000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.77,10.0,10.0,5.0,1.1253517471925912e-07
2.7800000000000002,10.0,10.0,5.0,1.1253517471925912e-07
2.79,10.0,10.0,5.0,1.1253517471925912e-07
2.8000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
2.81,10.0,10.0,5.0,1.1253517471925912e-07
2.82,10.0,10.0,5.0,1.1253517471925912e-07
2.83,10.0,10.0,5.0,1.1253517471925912e-07
2.84,10.0,10.0,5.0,1.1253517471925912e-07
2.85,10.0,10.0,5.0,1.1253517471925912e-07
2.86,10.0,10.0,5.0,1.1253517471925912e-07
2.87,10.0,10.0,5.0,1.1253517471925912e-07
2.88,10.0,10.0,5.0,1.1253517471925912e-07
2.89,10.0,10.0,5.0,1.1253517471925912e-07
2.9,10.0,10.0,5.0,1.1253517471925912e-07
2.91,10.0,10.0,5.0,1.1253517471925912e-07
2.92,10.0,10.0,5.0,1.1253517471925912e-07
2.93,10.0,10.0,5.0,1.1253517471925912e-07
2.94,10.0,10.0,5.0,1.1253517471925912e-07
2.95,10.0,10.0,5.0,1.1253517471925912e-07
2.96,10.0,10.0,5.0,1.1253517471925912e-07
2.97,10.0,10.0,5.0,1.1253517471925912e-07
2.98,10.0,10.0,5.0,1.1253517471925912e-07
2.99,10.0,10.0,5.0,1.1253517471925912e-07
3.0,10.0,10.0,5.0,1.1253517471925912e-07
3.0100000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.02,10.0,10.0,5.0,1.1253517471925912e-07
3.0300000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.04,10.0,10.0,5.0,1.1253517471925912e-07
3.0500000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.06,10.0,10.0,5.0,1.1253517471925912e-07
3.0700000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.08,10.0,10.0,5.0,1.1253517471925912e-07
3.09,10.0,10.0,5.0,1.1253517471925912e-07
3.1,10.0,10.0,5.0,1.1253517471925912e-07
3.11,10.0,10.0,5.0,1.1253517471925912e-07
3.12,10.0,10.0,5.0,1.1253517471925912e-07
3.13,10.0,10.0,5.0,1.1253517471925912e-07
3.14,10.0,10.0,5.0,1.1253517471925912e-07
3.15,10.0,10.0,5.0,1.1253517471925912e-07
3.16,10.0,10.0,5.0,1.1253517471925912e-07
3.17,10.0,10.0,5.0,1.1253517471925912e-07
3.18,10.0,10.0,5.0,1.1253517471925912e-07
3.19,10.0,10.0,5.0,1.1253517471925912e-07
3.2,10.0,10.0,5.0,1.1253517471925912e-07
3.21,10.0,10.0,5.0,1.1253517471925912e-07
3.22,10.0,10.0,5.0,1.1253517471925912e-07
3.23,10.0,10.0,5.0,1.1253517471925912e-07
3.24,10.0,10.0,5.0,1.1253517471925912e-07
3.25,10.0,10.0,5.0,1.1253517471925912e-07
3.2600000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.27,10.0,10.0,5.0,1.1253517471925912e-07
3.2800000000000002,10.0,10.0,5.0,1.1253517471925912e-07
3.29,10.0,10.0,5.0,1.1253517471925912e-07
3.3000000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.31,10.0,10.0,5.0,1.1253517471925912e-07
3.3200000000000003,10.0,10.0,5.0,1.1253517471925912e-07
3.33,10.0,10.0,5.0,1.1253517471925912e-07
3.34,10.0,10.0,5.0,1.1253517471925912e-07
3.35,10.0,10.0,5.0,1.1253517471925912e-07
3.36,10.0,10.0,5.0,1.1253517471925912e-07
3.37,10.0,10.0,5.0,1.1253517471925912e-07
3.38,10.0,10.0,5.0,1.1253517471925912e-07
3.39,10.0,10.0,5.0,1.1253517471925912e-07
3.4,10.0,10.0,5.0,1.1253517471925912e-07
3.41,10.0,10.0,5.0,1.1253517471925912e-07
3.42,10.0,10.0,5.0,1.1253517471925912e-07
3.43,10.0,10.0,5.0,1.1253517471925912e-07
3.44,10.0,10.0,5.0,1.1253517471925912e-07
3.45,10.0,10.0,5.0,1.1253517471925912e-07
3.46,10.0,10.0,5.0,1.1253517471925912e-07
3.47,10.0,10.0,5.0,1.1253517471925912e-07
3.48,10.0,10.0,5.0,1.1253517471925912e-07
3.49,10.0,10.0,5.0,1.1253517471925912e-07
3.5,10.0,10.0,5.0,1.1253517471925912e-07
