time,x,y,z,heading_deg,odor_concentration,brain_forward,brain_turn,velocity_mms,angular_velocity_rads,distance_to_source
23.26,36.88581604083916,98.18621732911608,5.0,204.62298408469195,0.20399708366199304,0.20388878186495007,0.06437204451306144,4.0598518246019895,0.2019039896777451,49.93889627738601
23.27,36.848925172346455,98.1692192367113,5.0,204.73868752509318,0.2041062774934883,0.20399708366199304,0.06438456734850165,4.061860809465776,0.2019405990886316,49.93219853958867
23.28,36.81205032360821,98.1521381502167,5.0,204.85441211531236,0.20421636550433864,0.2041062774934883,0.06439718810037254,4.063887283506176,0.20197751248456547,49.925448672040964
23.29,36.77519152694839,98.13497397732166,5.0,204.97015802975332,0.20432734985951767,0.20421636550433864,0.06440990690951681,4.065931286164236,0.20201473027264297,49.91864660571569
23.3,36.73834881500885,98.11772662489825,5.0,205.08592544305543,0.20443923274416445,0.20432734985951767,0.06442272391806192,4.067992857266848,0.20205225286390135,49.91179227097359
23.31,36.70152222075151,98.10039599899885,5.0,205.2017145300958,0.2045520163636818,0.20443923274416445,0.06443563926942822,4.070072037028492,0.202090080673331,49.90488559756119
23.32,36.66471177746047,98.08298200485383,5.0,205.31752546599168,0.20466570294383357,0.2045520163636818,0.06444865310832831,4.072168866053007,0.20212821411988605,49.89792651460879
23.330000000000002,36.627917518744205,98.06548454686923,5.0,205.4333584261025,0.20478029473084378,0.20466570294383357,0.0644617655807743,4.074283385335373,0.20216665362649625,49.890914950628364
23.34,36.59113947853773,98.0479035286243,5.0,205.54921358603235,0.20489579399149693,0.20478029473084378,0.06447497683408043,4.0764156362635235,0.20220539962007855,49.88385083351141
23.35,36.55437769110478,98.03023885286916,5.0,205.66509112163226,0.20501220301323922,0.20489579399149693,0.06448828701686735,4.078565660620165,0.20224445253154877,49.876734090526845
23.36,36.51763219104007,98.01249042152232,5.0,205.78099120900242,0.20512952410428031,0.20501220301323922,0.06450169627906657,4.080733500584627,0.20228381279583346,49.86956464831883
23.37,36.48090301327149,97.99465813566819,5.0,205.8969140244945,0.20524775959369732,0.20512952410428031,0.0645152047719233,4.082919198734725,0.20232348085188165,49.86234243290454
23.38,36.44419019306234,97.97674189555468,5.0,206.012859744714,0.20536691183153832,0.20524775959369732,0.06452881264800372,4.085122798048648,0.20236345714267753,49.85506736967205
23.39,36.407493766013665,97.95874160059063,5.0,206.12882854652258,0.20548698318892858,0.20536691183153832,0.06454252006119593,4.08734434190686,0.20240374211525228,49.847739383378055
23.400000000000002,36.37081376806647,97.94065714934325,5.0,206.24482060704034,0.2056079760581766,0.20548698318892858,0.06455632716671542,4.089583874094031,0.2024443362206963,49.840358398145604
23.41,36.33415023550405,97.92248843953564,5.0,206.36083610364807,0.2057298928528816,0.2056079760581766,0.06457023412111079,4.091841438800982,0.20248523991417214,49.83292433746189
23.42,36.29750320495431,97.90423536804411,5.0,206.47687521398987,0.205852736008043,0.2057298928528816,0.06458424108226496,4.0941170806266465,0.2025264536549265,49.8254371241759
23.43,36.26087271339212,97.88589783089564,5.0,206.5929381159752,0.20597650798016903,0.205852736008043,0.064598348209404,4.096410844580068,0.20256797790630374,49.817896680496155
23.44,36.224258798141626,97.86747572326522,5.0,206.7090249877813,0.20610121124738906,0.20597650798016903,0.0646125556630966,4.0987227760824,0.20260981313575796,49.81030292798833
23.45,36.18766149687867,97.84896893947312,5.0,206.82513600785578,0.20622684830956442,0.20610121124738906,0.06462686360526279,4.101052920968938,0.2026519598148665,49.80265578757293
23.46,36.15108084763315,97.83037737298234,5.0,206.94127135491865,0.20635342168840232,0.20622684830956442,0.06464127219917601,4.103401325491173,0.2026944184193428,49.794955179522894
23.47,36.114516888791485,97.81170091639576,5.0,207.05743120796492,0.20648093392757014,0.20635342168840232,0.06465578160946928,4.105768036318861,0.20273718942905,49.78720102346121
23.48,36.07796965909897,97.79293946145347,5.0,207.173615746267,0.2066093875928109,0.20648093392757014,0.06467039200213767,4.108153100542115,0.2027802733280138,49.77939323835843
23.490000000000002,36.04143919766228,97.77409289902998,5.0,207.28982514937684,0.2067387852720594,0.2066093875928109,0.06468510354454582,4.110556565673525,0.20282367060443646,49.77153174253034
23.5,36.004925543951934,97.75516111913142,5.0,207.4060595971287,0.20686912957556122,0.2067387852720594,0.06469991640542982,4.112978479650291,0.20286738175071,49.76361645363538
23.51,35.96842873780478,97.73614401089272,5.0,207.52231926964126,0.20700042313599068,0.20686912957556122,0.06471483075490406,4.115418890836384,0.20291140726343038,49.75564728867218
23.52,35.93194881942649,97.71704146257478,5.0,207.63860434732015,0.20713266860857138,0.20700042313599068,0.06472984676446553,4.117877848024727,0.20295574764341115,49.747624163977086
23.53,35.89548582939411,97.69785336156161,5.0,207.75491501086043,0.2072658686711975,0.20713266860857138,0.06474496460699747,4.120355400439397,0.2030004033956975,49.73954699522159
23.54,35.85903980865861,97.67857959435736,5.0,207.8712514412489,0.2074000260245571,0.2072658686711975,0.06476018445677645,4.122851597737853,0.20304537502958062,49.731415697409744
23.55,35.822610798547416,97.65922004658343,5.0,207.9876138197666,0.20753514339225515,0.2074000260245571,0.06477550648947492,4.125366490013182,0.20309066305861181,49.723230184875604
23.56,35.78619884076706,97.63977460297554,5.0,208.10400232799134,0.20767122352093875,0.20753514339225515,0.06479093088216775,4.127900127796374,0.20313626800061685,49.714990371280614
23.57,35.74980397740574,97.6202431473807,5.0,208.22041714780002,0.2078082691804236,0.20767122352093875,0.06480645781333708,4.130452562058614,0.20318219037771082,49.70669616961099
23.580000000000002,35.71342625093599,97.60062556275426,5.0,208.33685846137112,0.20794628316382166,0.2078082691804236,0.06482208746287688,4.1330238442136,0.20322843071631264,49.698347492175024
