step,time_s,x_mm,y_mm,z_mm,odor,forward_cmd,turn_cmd,wing_Hz,left_leg,right_leg
153,1.53,10.286078487698674,10.0,5.0,0.01884172362527579,0.01884172362527579,0.0,2.8262585437913685,0.0,-0.0
154,1.54,10.287963012574062,10.0,5.0,0.01884524875387977,0.01884524875387977,0.0,2.8267873130819656,0.0,-0.0
155,1.55,10.2898478900775,10.0,5.0,0.018848775034378096,0.018848775034378096,0.0,2.827316255156714,0.0,-0.0
156,1.56,10.29173312032423,10.0,5.0,0.018852302467292206,0.018852302467292206,0.0,2.827845370093831,0.0,-0.0
157,1.57,10.293618703429544,10.0,5.0,0.01885583105314386,0.01885583105314386,0.0,2.828374657971579,0.0,-0.0
158,1.58,10.29550463950879,10.0,5.0,0.018859360792455072,0.018859360792455072,0.0,2.8289041188682607,0.0,-0.0
159,1.59,10.297390928677364,10.0,5.0,0.01886289168574817,0.01886289168574817,0.0,2.8294337528622253,0.0,-0.0
160,1.6,10.29927757105072,10.0,5.0,0.018866423733545783,0.018866423733545783,0.0,2.8299635600318673,0.0,-0.0
161,1.61,10.301164566744356,10.0,5.0,0.018869956936370818,0.018869956936370818,0.0,2.8304935404556226,0.0,-0.0
162,1.62,10.303051915873832,10.0,5.0,0.018873491294746497,0.018873491294746497,0.0,2.8310236942119746,0.0,-0.0
163,1.6300000000000001,10.304939618554751,10.0,5.0,0.018877026809196354,0.018877026809196354,0.0,2.831554021379453,0.0,-0.0
164,1.6400000000000001,10.306827674902776,10.0,5.0,0.018880563480244174,0.018880563480244174,0.0,2.832084522036626,0.0,-0.0
165,1.6500000000000001,10.308716085033618,10.0,5.0,0.018884101308414062,0.018884101308414062,0.0,2.8326151962621093,0.0,-0.0
166,1.6600000000000001,10.310604849063042,10.0,5.0,0.018887640294230432,0.018887640294230432,0.0,2.833146044134565,0.0,-0.0
167,1.67,10.312493967106864,10.0,5.0,0.018891180438217976,0.018891180438217976,0.0,2.8336770657326964,0.0,-0.0
