time,pos_x,pos_y,pos_z,dist_to_source,odor_concentration,brain_forward,brain_turn,velocity
1.7,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.71,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.72,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.73,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.74,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.75,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.76,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.77,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.78,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.79,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.8,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.81,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.82,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.83,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.84,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.85,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.86,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.87,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.8800000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.8900000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.9000000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.9100000000000001,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.92,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.93,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.94,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.95,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.96,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.97,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.98,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
1.99,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.0,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.0100000000000002,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.02,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.0300000000000002,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.04,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.05,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.06,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.07,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.08,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.09,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.1,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.11,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.12,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.13,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.14,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.15,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.16,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.17,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
2.18,10.0,10.0,2.0,56.64803615307419,1.339615461612252e-28,1.339615461612252e-28,0.5,6.698077308061261e-28
