step,time_s,x_mm,y_mm,z_mm,odor,forward_cmd,turn_cmd,wing_Hz,left_leg,right_leg
141,1.41,20.264651447100594,20.0,5.0,0.018965771208678615,0.018965771208678615,0.0,2.8448656813017923,0.0,-0.0
142,1.42,20.26654849966594,20.0,5.0,0.018970525653480633,0.018970525653480633,0.0,2.845578848022095,0.0,-0.0
143,1.43,20.26844602788384,20.0,5.0,0.01897528217900612,0.01897528217900612,0.0,2.846292326850918,0.0,-0.0
144,1.44,20.27034403196249,20.0,5.0,0.018980040786516054,0.018980040786516054,0.0,2.847006117977408,0.0,-0.0
145,1.45,20.272242512110218,20.0,5.0,0.018984801477272373,0.018984801477272373,0.0,2.847720221590856,0.0,-0.0
146,1.46,20.274141468535472,20.0,5.0,0.01898956425253796,0.01898956425253796,0.0,2.848434637880694,0.0,-0.0
147,1.47,20.27604090144683,20.0,5.0,0.01899432911357667,0.01899432911357667,0.0,2.8491493670365005,0.0,-0.0
148,1.48,20.277940811052996,20.0,5.0,0.01899909606165329,0.01899909606165329,0.0,2.8498644092479934,0.0,-0.0
149,1.49,20.2798411975628,20.0,5.0,0.019003865098033593,0.019003865098033593,0.0,2.850579764705039,0.0,-0.0
150,1.5,20.2817420611852,20.0,5.0,0.019008636223984295,0.019008636223984295,0.0,2.8512954335976444,0.0,-0.0
151,1.51,20.283643402129275,20.0,5.0,0.01901340944077308,0.01901340944077308,0.0,2.8520114161159618,0.0,-0.0
152,1.52,20.28554522060424,20.0,5.0,0.0190181847496686,0.0190181847496686,0.0,2.8527277124502897,0.0,-0.0
153,1.53,20.287447516819437,20.0,5.0,0.019022962151940447,0.019022962151940447,0.0,2.8534443227910673,0.0,-0.0
154,1.54,20.289350290984324,20.0,5.0,0.019027741648859207,0.019027741648859207,0.0,2.854161247328881,0.0,-0.0
155,1.55,20.291253543308493,20.0,5.0,0.019032523241696405,0.019032523241696405,0.0,2.854878486254461,0.0,-0.0
156,1.56,20.293157274001665,20.0,5.0,0.019037306931724535,0.019037306931724535,0.0,2.85559603975868,0.0,-0.0
157,1.57,20.295061483273688,20.0,5.0,0.01904209272021709,0.01904209272021709,0.0,2.8563139080325635,0.0,-0.0
158,1.58,20.29696617133453,20.0,5.0,0.019046880608448467,0.019046880608448467,0.0,2.85703209126727,0.0,-0.0
159,1.59,20.298871338394303,20.0,5.0,0.01905167059769407,0.01905167059769407,0.0,2.8577505896541107,0.0,-0.0
160,1.6,20.300776984663226,20.0,5.0,0.019056462689230294,0.019056462689230294,0.0,2.858469403384544,0.0,-0.0
161,1.61,20.30268311035166,20.0,5.0,0.019061256884334438,0.019061256884334438,0.0,2.859188532650166,0.0,-0.0
162,1.62,20.304589715670087,20.0,5.0,0.019066053184284826,0.019066053184284826,0.0,2.859907977642724,0.0,-0.0
163,1.6300000000000001,20.306496800829123,20.0,5.0,0.01907085159036074,0.01907085159036074,0.0,2.860627738554111,0.0,-0.0
164,1.6400000000000001,20.308404366039507,20.0,5.0,0.019075652103842423,0.019075652103842423,0.0,2.861347815576363,0.0,-0.0
165,1.6500000000000001,20.310312411512108,20.0,5.0,0.019080454726011102,0.019080454726011102,0.0,2.862068208901665,0.0,-0.0
166,1.6600000000000001,20.312220937457923,20.0,5.0,0.019085259458148967,0.019085259458148967,0.0,2.862788918722345,0.0,-0.0
167,1.67,20.314129944088076,20.0,5.0,0.01909006630153918,0.01909006630153918,0.0,2.8635099452308768,0.0,-0.0
168,1.68,20.316039431613824,20.0,5.0,0.019094875257465907,0.019094875257465907,0.0,2.864231288619886,0.0,-0.0
169,1.69,20.317949400246544,20.0,5.0,0.019099686327214264,0.019099686327214264,0.0,2.8649529490821397,0.0,-0.0
170,1.7,20.31985985019775,20.0,5.0,0.019104499512070338,0.019104499512070338,0.0,2.865674926810551,0.0,-0.0
171,1.71,20.321770781679085,20.0,5.0,0.019109314813321215,0.019109314813321215,0.0,2.866397221998182,0.0,-0.0
172,1.72,20.32368219490231,20.0,5.0,0.01911413223225495,0.01911413223225495,0.0,2.8671198348382427,0.0,-0.0
173,1.73,20.325594090079328,20.0,5.0,0.019118951770160573,0.019118951770160573,0.0,2.867842765524086,0.0,-0.0
174,1.74,20.32750646742216,20.0,5.0,0.019123773428328102,0.019123773428328102,0.0,2.8685660142492155,0.0,-0.0
175,1.75,20.329419327142965,20.0,5.0,0.01912859720804855,0.01912859720804855,0.0,2.8692895812072825,0.0,-0.0
176,1.76,20.331332669454028,20.0,5.0,0.01913342311061387,0.01913342311061387,0.0,2.8700134665920802,0.0,-0.0
177,1.77,20.33324649456776,20.0,5.0,0.01913825113731703,0.01913825113731703,0.0,2.8707376705975545,0.0,-0.0
178,1.78,20.335160802696706,20.0,5.0,0.019143081289451986,0.019143081289451986,0.0,2.871462193417798,0.0,-0.0
179,1.79,20.337075594053537,20.0,5.0,0.019147913568313673,0.019147913568313673,0.0,2.872187035247051,0.0,-0.0
180,1.8,20.338990868851056,20.0,5.0,0.019152747975197993,0.019152747975197993,0.0,2.872912196279699,0.0,-0.0
181,1.81,20.340906627302196,20.0,5.0,0.01915758451140185,0.01915758451140185,0.0,2.8736376767102776,0.0,-0.0
182,1.82,20.34282286962002,20.0,5.0,0.019162423178223142,0.019162423178223142,0.0,2.874363476733471,0.0,-0.0
183,1.83,20.344739596017714,20.0,5.0,0.01916726397696077,0.01916726397696077,0.0,2.8750895965441154,0.0,-0.0
184,1.84,20.346656806708605,20.0,5.0,0.01917210690891458,0.01917210690891458,0.0,2.875816036337187,0.0,-0.0
185,1.85,20.348574501906143,20.0,5.0,0.019176951975385423,0.019176951975385423,0.0,2.8765427963078136,0.0,-0.0
186,1.86,20.35049268182391,20.0,5.0,0.01918179917767516,0.01918179917767516,0.0,2.877269876651274,0.0,-0.0
187,1.87,20.352411346675616,20.0,5.0,0.01918664851708664,0.01918664851708664,0.0,2.8779972775629963,0.0,-0.0
188,1.8800000000000001,20.354330496675107,20.0,5.0,0.019191499994923703,0.019191499994923703,0.0,2.8787249992385555,0.0,-0.0
189,1.8900000000000001,20.356250132036358,20.0,5.0,0.01919635361249115,0.01919635361249115,0.0,2.879453041873673,0.0,-0.0
190,1.9000000000000001,20.35817025297347,20.0,5.0,0.019201209371094857,0.019201209371094857,0.0,2.8801814056642283,0.0,-0.0
191,1.9100000000000001,20.360090859700673,20.0,5.0,0.0192060672720416,0.0192060672720416,0.0,2.8809100908062404,0.0,-0.0
192,1.92,20.362011952432336,20.0,5.0,0.019210927316639204,0.019210927316639204,0.0,2.8816390974958805,0.0,-0.0
193,1.93,20.363933531382955,20.0,5.0,0.01921578950619648,0.01921578950619648,0.0,2.882368425929472,0.0,-0.0
194,1.94,20.365855596767158,20.0,5.0,0.019220653842023247,0.019220653842023247,0.0,2.883098076303487,0.0,-0.0
195,1.95,20.3677781487997,20.0,5.0,0.019225520325430314,0.019225520325430314,0.0,2.883828048814547,0.0,-0.0
